review_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Genre,Original Work,Review Author,Rating Category
A Woman's World,-0.36396304633006915,-0.007443321456651058,-0.0822876818452148,0.0561141945167414,0.07419978553884687,-0.0955502818013851,0.006772318246708566,0.007934695843428494,-0.11159691750227085,0.09532322461422493,Comedy,As You Like It,Kurt Daw,Positive
A Younger Romeo & Juliet,-0.2610890102934081,0.005157579378073962,0.018997493237583225,0.02633757314220287,0.07757779507990134,0.05733346034024945,-0.08369657686928915,0.07118909196511163,-0.06052168086873819,-0.0008983339843074288,Tragedy,Romeo & Juliet,Christopher Adams,Negative
ART's Julius Caesar Swings and Misses,-0.3032708994880573,-0.04924406427169405,0.04228527603420549,0.014308026104748274,-0.013204685192521153,0.09333871135516089,0.03008472028509117,-0.039579758594889575,-0.024027502284392023,-0.12188657267773387,Tragedy,Julius Caesar,Jess Pease,Negative
ASC Proves This Tale's Timeless Place,-0.4115545376976978,-0.10735449787794195,0.014947705643092231,0.09040598718997866,0.139110093676059,0.0639724083676174,0.018476261839859134,-0.06617676687487144,-0.034968975983395406,0.04163761437795431,Tragedy,Romeo & Juliet,Eric Minton,Positive
Alike in Dignity: The Lantern Theater’s Romeo and Juliet,-0.29269880758672373,-0.04571506237682417,0.0186672713774972,0.10309263159230679,-0.017146492994244575,0.24413672437633993,-0.04530724802190989,0.015011354851134574,0.01187279146464464,0.18723069944795515,Tragedy,Romeo & Juliet,Jennifer Kramer,Positive
All Denmark's a Forest,-0.508108135356561,-0.11199864104256534,0.07870257445321288,0.11304903477459737,0.12496521421371169,-0.041650411762113475,0.06011064436092184,-0.05818933189780986,-0.06291166193354826,0.021287248233364527,Tragedy,Hamlet,J. A. Macfarlane,Positive
All Republics Fall,-0.27519521713241574,-0.13092975632801282,0.06564660864479586,0.0382884551614943,-0.12313133257297458,0.27249900697393864,-0.0477970896055297,-0.04336675894336666,0.20761005574234076,-0.1413194507218398,Tragedy,Julius Caesar,Jennifer Kramer,Positive
All the Wood's a Stage,-0.3201572810414487,0.24857922025895623,0.12172575929772152,-0.038927819014386286,0.029267682326282858,-0.010399753147493921,-0.011247190863744847,0.030576942463804203,-0.09113395197244986,-0.03902372013234465,Comedy,Midsummer Night's Dream,Denise Battista,Positive
All's Swell and Ends Well,-0.3982726912470728,-0.05142399598551197,-0.10680551919260127,0.030516065378855955,-0.0027903401895253716,-0.05850569359074185,0.13303665242304427,0.030770787495677923,0.004537443552231019,-0.06308981516407385,Comedy,All's Well That Ends Well,Eric Minton,Positive
All's Well - Or Is It?,-0.27436876090475026,-0.022394537340394156,-0.03116000384128297,0.06887744054048191,0.01315967756257393,0.08010213586189804,0.037457299086530046,0.044552100401089596,-0.0880315199982429,0.04467252885797553,Comedy,All's Well That Ends Well,Claudine Nightingale,Positive
All's Well in Globe's Mainstage Opener,-0.2786917550103293,0.010848323760057904,-0.0908207519421279,-0.050452679663726095,0.020593854053490776,0.05826047822839788,0.030966065039978372,-0.0014556897967320263,-0.044879230416402516,-0.05693621510922528,Comedy,All's Well That Ends Well,Christopher Adams,Positive
Always Loving the One You Can't Have,-0.3174035355055875,-0.024804495091930747,-0.1286102726470934,-0.08453313358326285,-0.0013664506211104044,-0.014715133134455775,-0.016494928070486553,-0.00722087455936166,-0.05739956587947899,-0.02869892354987985,Comedy,Twelfth Night,Roseanne Wells,Negative
Ambition Should Be Made of Sterner Stuff,-0.3008444748232622,-0.09952457314478508,0.03902926875841685,0.05938523746861063,-0.07313086223691816,0.2287386722447502,-0.0480410139362958,0.04283873188218311,0.0893222629210054,0.07873243078655155,Tragedy,Julius Caesar,Jennifer Kramer,Negative
Ambition to be Glanced at in PSF’s Julius Caesar,-0.28106175028489633,-0.1254319833360686,0.06663208289672096,0.02898181186383122,-0.1729678322535996,0.36264098260549604,-0.10028580388776809,-0.08164313671824272,0.20138865951834706,-0.27627575762504664,Tragedy,Julius Caesar,Jennifer Kramer,Positive
An Adaptation Most 'Honor'-able,-0.34629398910208664,-0.026534654935870372,-0.06026237579281608,0.10116813392543919,-0.001781580257291547,-0.11737993034618822,-0.20105511987366123,0.03807678521799842,-0.09712124425214987,0.002818816488124166,Comedy,As You Like It,Liz Kimberlin,Positive
An American Caesar,-0.33260886751408447,-0.009899293348243254,0.0499795172325761,0.0485332131912781,0.11199801727488128,0.03409660397171074,-0.003434020742722912,-0.05291812497027056,-0.004968137337242662,-0.05786928118447796,Tragedy,Julius Caesar,Michael Kostroff,Positive
An Appetizing Othello,-0.29139887842949014,0.0014579841551738554,-0.011179423960540176,-0.01197960503470906,-0.07284685310429476,0.05186361145276761,0.03156752361583175,-0.010316430924977181,-0.10086726582361155,-0.02959012126935885,Tragedy,Othello,Melissa Crismon,Positive
An Enchanting Illyrian Summer in New York,-0.3356547245618202,0.05573489035609693,-0.297440163604776,-0.11761851079479978,-0.03355371682711521,0.0045089968623817245,0.05972609132624154,-0.0025172837530527204,-0.00830492116970402,-0.0985814548463968,Comedy,Twelfth Night,Roseanne Wells,Positive
An Involving Hamlet on Summer Eve,-0.303378820282477,-0.08386966211952435,-0.015563319613643364,0.06339097874869665,-0.018380880800898017,-0.020912678476428827,0.026568514239991375,-0.07317061895192228,-0.012392382540882017,-0.020772822396524233,Tragedy,Hamlet,Glenda Pearce,Positive
An Underground Hamlet of Inexplicable Transformations,-0.26105784286342787,-0.02606955946787682,-0.03294901412406309,0.1439486356658167,0.11381229614387212,-0.1414004508794011,0.1384281239021784,-0.14940168493680953,0.1780410246928194,0.06624601191914621,Tragedy,Hamlet,Michael Meigs,Negative
Apocalyptic Midsummer is no Run-of-the-Mill Production,-0.36881203091105236,0.33681483285866454,0.0907933105379618,-0.07320541099798866,-0.013675420339280393,0.009346099584338562,-0.04638387950767728,0.03766377130334342,-0.004950817675796465,0.02199614626146996,Comedy,Midsummer Night's Dream,Ginny Quaney,Positive
Arden Completes the Hamlet Triad,-0.1836105381910323,-0.027237250440319907,0.021661310864771983,0.07469937880632362,0.07224832904775763,-0.08311643807298827,0.017837118704156087,-0.01769741320562929,0.038818747949933695,-0.004026458923187164,Comedy,All's Well That Ends Well,Ron Severdia,Positive
Arden’s Midsummer Keeps You on Your (Tapping) Toes,-0.341992709227519,0.2766131468325502,0.055583479057874224,-0.0890924586662282,-0.1051176964147427,0.12255382908395547,-0.016700827643903432,0.09043596894076066,0.07545153602603628,0.10535316580661264,Comedy,Midsummer Night's Dream,Jennifer Kramer,Positive
As You Like It Sans Nothing,-0.31535523986319025,0.040989549900773053,-0.07181469122480649,0.08040593014028122,-0.09557833161365757,-0.07204229486827711,-0.09060060511010848,-0.058879173098840054,-0.14863729910031104,-0.07309168590625481,Comedy,As You Like It,Denise Battista,Positive
As You Like It a Matter of Taste,-0.255512102562009,-0.023911835863025116,0.04712814224849209,0.09578386918518292,0.16001169598810364,-0.17818688614329997,-0.40431053803297434,0.3070438300670842,0.16082007841212276,-0.10157890326334601,Comedy,All's Well That Ends Well,Tanya Gough,Negative
As You Like It is As You Love It,-0.31008316905051697,-0.021281467123632353,-0.08360983696227986,0.07188377244211845,-0.06028413907460528,-0.016374928962463526,0.0022956726652738606,0.09732014478062626,-0.05391886297524614,0.043261219980403644,Comedy,As You Like It,Benjamin Alper,Positive
As You Like It: Occupied,-0.30848749825071475,0.03133348695918079,-0.15746118538676837,0.2277466613731327,-0.2061006680712174,-0.18860734420472508,-0.23743607473990572,-0.018758382035462984,-0.10460233979218157,-0.003143845734022566,Comedy,As You Like It,Craig Melson,Negative
As You Like It? It Certainly Is...,-0.26798345789932143,-0.014453168260615018,-0.07120163993275822,0.11308931544572254,-0.033712810113403456,-0.0315373180772809,-0.10071316801371448,0.01571213974836632,-0.16514056915023123,-0.04661563370775695,Comedy,As You Like It,Claudine Nightingale,Positive
"As You, Like...You Know Like...Like It",-0.31412468254108816,0.0009191576858859629,-0.04378601469625194,0.06566701987146038,0.06440147693800174,-0.07353469140787483,-0.08243139219615324,0.09010749879077895,-0.07526358737155571,0.07144016614968265,Comedy,As You Like It,Michael Kostroff,Negative
Bad Hamlet Surprisingly Not Bad,-0.30492457256087546,-0.060818293419873756,0.041121484209547005,0.0771690427304906,0.12369184420922427,-0.03367754021565741,0.047413493807818244,0.0092560519701586,0.0288134302168514,0.0612339108577827,Tragedy,Hamlet,Barry Eitel,Positive
"Beautiful, Powerful, Magical, Dangerous",-0.3437464655154346,0.2929683639341614,0.07556296250961653,-0.02239370393474663,-0.05869258822359091,-0.02895276212314179,-0.046514194287023976,-0.014271124577842664,-0.011678149158479357,-0.04190286521085596,Comedy,Midsummer Night's Dream,Roseanne Wells,Positive
Because It Is the Right Thing To Do,-0.3230140241771168,-0.0789881329903196,-0.05566877890918464,-0.008104360918574565,0.01008473920977381,0.053369362835151785,-0.04411900704106901,0.10514448769225673,0.0022201641938691197,0.3575974416727842,Tragedy,Romeo & Juliet,Kurt Daw,Negative
Berkeley Opera's Romeo and Juliet: Voice Without Poise,-0.31137708029586886,0.08115100948930043,0.08098580434610725,0.00041180905483925907,0.14037899489408134,0.010906124729780014,-0.013297854507068637,-0.012817589324185193,-0.13242669214072617,-0.09969955709482471,Tragedy,Romeo & Juliet,Denise Battista,Negative
Big Things Come in Small Packages,-0.2858896299145583,-0.0042024241385946095,-0.11257816531230624,-0.07635928284246359,0.036220126848025724,0.05632079577900328,-0.03957734115855177,-0.04879396285532231,-0.05153357191726334,-0.001966656373747823,Comedy,Twelfth Night,Carrie Cleaveland,Positive
Big Upset in a Hamlet for the Moment,-0.39859349534184896,-0.08969008511281262,0.049438557924003985,0.0068785636427981176,0.1304273133245425,0.029834343319958476,0.037522009300554326,-0.07005104151164446,-0.13280207802276048,-0.04501953909294547,Tragedy,Hamlet,Denise Battista,Negative
Blackfriars Scores a Jazzy Twelfth Night,-0.3174070084419904,-0.05233488712508915,-0.29712636987237917,-0.21351963186180575,0.05845316847776458,-0.011668334976412486,-0.03594358270227516,-0.0075591229313349256,0.033845442641541115,0.14608330457079372,Comedy,Twelfth Night,Diana Louise Carter,Positive
Blood and Thunder in the PST's Macbeth,-0.323680614303709,-0.17581837553236898,0.18192544694944088,-0.16137746071179215,-0.2497545625640129,0.04296677240311256,-0.03814784310513837,-0.008430210467229172,0.023746076964426883,0.04853581045244591,Tragedy,Macbeth,Jennifer Kramer,Positive
