term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
language,-0.07008500542938721,-0.005186688615793177,-0.007247115097261523,0.05072459128097087,0.016250047021601037,0.13933345339715394,0.01561364451386775,-0.09801064905186932,0.006980673746820816,0.029057602784612842
choice,-0.047502203916116495,0.01679319852991101,0.008885311182189971,0.008447287314808859,-0.017562024098662834,-0.017435794587098062,-0.020900502632243707,0.007246770381151398,0.03465351352790699,0.002862017708707361
way,-0.06035891999292752,-0.008113923716657236,-0.027380614265649018,-0.007220838914519406,0.014293876562024807,0.02796831083494702,-0.022139654720655145,-0.004739320492844581,0.03357615915906034,0.00046985911932954493
theatre,-0.07872920990580214,0.007989173577424458,-0.0018428084396825096,0.027151905625610113,-0.0281986336252405,0.06371676724088865,-0.05658761666169184,0.008937837109738968,-0.046289353725506445,0.03571610987909811
nothing,-0.04701544482691646,0.0017030899859175872,-0.0010181394502212354,0.0158690077667106,0.004757966853355331,-0.0006033587674023863,-0.04855884188994365,-0.02732312689141842,0.017494631267677904,0.017364656072714806
people,-0.05166471426602632,-0.0002691370572189502,-0.02845945654889791,-0.009841175375915353,0.014050467336123588,0.027438932246707244,0.035271920253872935,0.013753357201070598,0.00324657062330809,0.07762717341213408
dream,-0.08850099455029531,-0.2942006714585105,-0.07931196476739738,-0.0158994602103532,0.06827864943287135,-0.0008487438158519785,-0.025755675482160425,-0.04167569862528683,0.030909592758544678,0.02825077839635346
turn,-0.04433677016330522,-0.007697794170279087,-0.00875284353339233,0.0026550410731403405,-0.0204296857518118,0.007046234824270982,0.024291860812179857,0.023638287573811843,-0.009171875838820204,0.018691174561875884
scenes,-0.06478404775272617,0.040938209517796864,-0.02145256573274968,0.0065360533018067905,0.014294990163574732,-0.008685601714512695,-0.005367251525113057,0.02325706225186587,0.01892500422751193,-0.0020056497115450572
women,-0.06420954761219083,0.02503653162474465,-0.0018179477763105958,0.01073774396468767,-0.10945671955789174,0.012765797551600951,0.03654078953691603,-0.12916232288039733,0.043651039286281154,0.1040032570334308
portrayal,-0.049182889717628214,0.03856287239966092,0.00027462080386611386,0.043110012747044756,0.030733125678308996,-0.0033783194208859067,0.028984494832321003,0.006495834265911655,0.006324527389192291,0.018046940476220442
effect,-0.04797644915444247,0.034491804294362494,-0.018496517628492797,-0.0062672505267786,-0.009139472040314463,-0.026709249214428816,-0.016840119045449364,0.003880133167037954,0.03183645649276819,-0.006079587536370346
voice,-0.048422366975811565,-0.009793888212681214,0.0034261075473117,-0.021955403477407147,0.018517307125600527,0.012657104939915696,-0.02329837163877971,0.012375766888645327,-0.03704230313765874,-0.01099104449581468
fight,-0.05121318854117751,0.03515334380206646,-0.0416324573643701,0.0006538175131327846,-0.005879698354759719,0.005842495141513079,0.029799853575313617,0.07133497910777145,0.026885197011524725,0.006684944904379805
nights,-0.05728613981668543,-0.17486504696048735,-0.025148106743245958,-0.038594277101726464,0.04034230672840508,-0.017094401277224874,0.0024826559765122476,-0.04201489461622235,0.008192486415641577,0.033565169811079196
hes,-0.05355126536930703,0.020085954879371242,0.022241679942490544,-0.005692194519458743,0.060181391716877114,0.06288350579633371,-0.008174164832332456,0.04607353286743856,-0.05140392282649038,0.020956100076730384
rest,-0.05126915684983022,0.0043569734664690865,-0.008387367822535626,0.005275061700029763,0.020623439464789912,-0.008884505472220486,0.027672356027138263,-0.0026424001703981314,0.004351057424687644,0.001794056082820429
